system,symbol,decision_session,prompt_action,rl_action,override_status,pm_action,pm_target_weight,rl_pm_status,executed_action,executed_fill,pm_execution_consistent,rebalance_status
M2,AMZN,2024-01-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-01-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-02-02,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-02-09,HOLD,BUY,OVERRIDE,HOLD,0.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-02-16,HOLD,BUY,OVERRIDE,HOLD,0.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-02-23,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-03-01,BUY,BUY,RETAIN,BUY,1.0,AGREE,BUY,1,True,ordered
M2,AMZN,2024-03-08,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-03-15,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-03-22,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-03-28,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-04-05,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-04-12,HOLD,BUY,OVERRIDE,BUY,1.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-04-19,SELL,BUY,OVERRIDE,SELL,0.0,MEDIATED,SELL,1,True,ordered
M2,AMZN,2024-04-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-05-03,BUY,BUY,RETAIN,BUY,1.0,AGREE,BUY,1,True,ordered
M2,AMZN,2024-05-10,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-05-17,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-05-24,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-05-31,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-06-07,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-06-14,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-06-21,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
M2,AMZN,2024-06-28,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-01-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-01-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-01-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-01-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-02-02,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-02-09,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-02-16,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-02-23,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-03-01,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-03-08,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-03-15,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-03-22,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-03-28,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-04-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-04-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-04-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-04-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-05-03,SELL,BUY,OVERRIDE,SELL,0.0,MEDIATED,NO_FILL,0,True,noop
M2,JPM,2024-05-10,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-05-17,BUY,HOLD,OVERRIDE,BUY,1.0,MEDIATED,BUY,1,True,ordered
M2,JPM,2024-05-24,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-05-31,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-06-07,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-06-14,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-06-21,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
M2,JPM,2024-06-28,HOLD,HOLD,RETAIN,SELL,0.0,MEDIATED,SELL,1,True,ordered
A1,AAPL,2024-01-05,SELL,SELL,RETAIN,SELL,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-01-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-01-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-01-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-02-02,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-02-09,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-02-16,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-02-23,SELL,BUY,OVERRIDE,SELL,0.0,MEDIATED,NO_FILL,0,True,noop
A1,AAPL,2024-03-01,SELL,HOLD,OVERRIDE,SELL,0.0,MEDIATED,NO_FILL,0,True,noop
A1,AAPL,2024-03-08,SELL,BUY,OVERRIDE,SELL,0.0,MEDIATED,NO_FILL,0,True,noop
A1,AAPL,2024-03-15,SELL,SELL,RETAIN,SELL,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-03-22,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-03-28,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-04-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-04-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-04-19,SELL,SELL,RETAIN,SELL,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-04-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-05-03,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-05-10,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-05-17,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-05-24,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-05-31,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-06-07,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-06-14,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-06-21,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AAPL,2024-06-28,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-01-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-01-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-01-19,BUY,BUY,RETAIN,BUY,1.0,AGREE,BUY,1,True,ordered
A1,AMZN,2024-01-26,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-02-02,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-02-09,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-02-16,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-02-23,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-03-01,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-03-08,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-03-15,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-03-22,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-03-28,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-04-05,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-04-12,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-04-19,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-04-26,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-05-03,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-05-10,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-05-17,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-05-24,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-05-31,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A1,AMZN,2024-06-07,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-06-14,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-06-21,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,AMZN,2024-06-28,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,JPM,2024-01-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-01-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-01-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-01-26,BUY,HOLD,OVERRIDE,BUY,1.0,MEDIATED,BUY,1,True,ordered
A1,JPM,2024-02-02,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-02-09,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-02-16,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-02-23,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-03-01,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-03-08,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-03-15,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-03-22,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-03-28,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-04-05,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-04-12,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-04-19,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-04-26,HOLD,BUY,OVERRIDE,HOLD,1.0,MEDIATED,NO_FILL,0,True,noop
A1,JPM,2024-05-03,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-05-10,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-05-17,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-05-24,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-05-31,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-06-07,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-06-14,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-06-21,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A1,JPM,2024-06-28,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-01-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-01-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-01-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-01-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-02-02,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-02-09,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-02-16,SELL,SELL,RETAIN,SELL,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-02-23,SELL,SELL,RETAIN,SELL,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-03-01,SELL,SELL,RETAIN,SELL,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-03-08,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-03-15,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-03-22,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-03-28,SELL,SELL,RETAIN,SELL,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-04-05,SELL,SELL,RETAIN,SELL,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-04-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-04-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-04-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-05-03,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-05-10,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-05-17,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-05-24,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-05-31,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-06-07,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-06-14,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-06-21,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AAPL,2024-06-28,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-01-05,BUY,BUY,RETAIN,BUY,1.0,AGREE,BUY,1,True,ordered
A2,AMZN,2024-01-12,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-01-19,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-01-26,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-02-02,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-02-09,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-02-16,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-02-23,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-03-01,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-03-08,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-03-15,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-03-22,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-03-28,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-04-05,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-04-12,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-04-19,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-04-26,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-05-03,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-05-10,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-05-17,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-05-24,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-05-31,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-06-07,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-06-14,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-06-21,BUY,BUY,RETAIN,BUY,1.0,AGREE,NO_FILL,0,True,noop
A2,AMZN,2024-06-28,HOLD,HOLD,RETAIN,HOLD,1.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-01-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-01-12,SELL,SELL,RETAIN,SELL,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-01-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-01-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-02-02,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-02-09,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-02-16,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-02-23,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-03-01,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-03-08,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-03-15,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-03-22,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-03-28,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-04-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-04-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-04-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-04-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-05-03,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-05-10,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-05-17,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-05-24,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-05-31,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-06-07,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-06-14,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-06-21,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
A2,JPM,2024-06-28,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
