symbol,decision_session,action,status,position_before,position_after,rebalance_status,execution_session,next_evaluation_session,forward_underlying_return,strategy_forward_return,spy_forward_return,excess_vs_underlying,excess_vs_spy,exposure_during_forward_period,transaction_cost_during_period
AMZN,2024-03-22,HOLD,cached,1.0,,noop,,2024-03-28,0.008441940187652985,0.008441940187652985,0.0035577035830387516,0.0,0.004884236604614234,1.0,0.0
AMZN,2024-03-28,SELL,cached,1.0,0.0,ordered,2024-04-01,2024-04-05,0.026000677861163446,0.001270892548902225,-0.008843766089677407,-0.02472978531226122,0.010114658638579632,0.16666666666666666,107.587549626151
AMZN,2024-04-05,BUY,success,0.0,574.6358635947486,ordered,2024-04-08,2024-04-12,0.005727549349915595,-0.005114925262730052,-0.014576196733630531,-0.010842474612645647,0.009461271470900479,0.8333333333333334,107.42628926042963
AMZN,2024-04-12,HOLD,success,1.0,,noop,,2024-04-19,-0.06178477245610392,-0.06178477245610392,-0.03061792429086163,-1.1102230246251565e-16,-0.03116684816524229,1.0,0.0
AMZN,2024-04-19,HOLD,success,1.0,,noop,,2024-04-26,0.028574643875532546,0.028574643875532768,0.026371160838696506,2.220446049250313e-16,0.0022034830368362623,1.0,0.0
AMZN,2024-04-26,HOLD,success,1.0,,noop,,2024-05-03,0.036688630329441585,0.036688630329441585,0.005942863445018487,0.0,0.030745766884423098,1.0,0.0
AMZN,2024-05-03,HOLD,success,1.0,,noop,,2024-05-10,0.006820197380938975,0.006820197380938975,0.01862019408196458,0.0,-0.011799996701025606,1.0,0.0
AMZN,2024-05-10,HOLD,success,1.0,,noop,,2024-05-17,-0.014828242285904736,-0.014828242285904736,0.016480490121593583,0.0,-0.03130873240749832,1.0,0.0
AMZN,2024-05-17,HOLD,success,1.0,,noop,,2024-05-24,-0.02138601497724224,-0.02138601497724235,-1.8849249630248366e-05,-1.1102230246251565e-16,-0.021367165727612103,1.0,0.0
AMZN,2024-05-24,HOLD,success,1.0,,noop,,2024-05-31,-0.02384507662517288,-0.02384507662517288,-0.0038980618803745593,0.0,-0.01994701474479832,1.0,0.0
AMZN,2024-05-31,HOLD,success,1.0,,noop,,2024-06-07,0.04454772496647852,0.04454772496647852,0.012552843310065676,2.220446049250313e-16,0.031994881656412844,1.0,0.0
AMZN,2024-06-07,HOLD,success,1.0,,noop,,2024-06-14,-0.0034725957093594273,-0.0034725957093595383,0.016374043071917477,-2.220446049250313e-16,-0.019846638781277015,1.0,0.0
AMZN,2024-06-14,HOLD,success,1.0,,noop,,2024-06-21,0.029511042093047557,0.029511042093047557,0.0064091486791493235,0.0,0.023101893413898233,1.0,0.0
AMZN,2024-06-21,HOLD,success,1.0,,noop,,2024-06-28,0.022054147240863964,0.022054147240863964,-0.0005293998050828197,2.220446049250313e-16,0.022583547045946784,1.0,0.0
AMZN,2024-06-28,HOLD,success,1.0,,noop,,2024-07-05,0.03492884864165591,0.03492884864165591,0.01902947265130117,-2.220446049250313e-16,0.015899375990354736,1.0,0.0
JPM,2024-01-05,HOLD,success,0.0,,noop,,2024-01-12,-0.018691595284298756,0.0,0.016595174092710163,0.018247438795523152,-0.016595174092710163,0.0,0.0
JPM,2024-01-12,HOLD,success,0.0,,noop,,2024-01-19,0.00745338347763691,0.0,0.012062599832292076,-0.00745338347763691,-0.012062599832292076,0.0,0.0
JPM,2024-01-19,BUY,success,0.0,586.0616626975133,ordered,2024-01-22,2024-01-26,0.011567149478956873,0.009667025462535728,0.010322764080501257,-0.0019001240164211453,-0.0006557386179655289,0.8333333333333334,99.92504996875547
JPM,2024-01-26,HOLD,success,1.0,,noop,,2024-02-02,0.014221017628658128,0.014221017628658128,0.014238530902766389,0.0,-1.7513274108260646e-05,1.0,0.0
JPM,2024-02-02,HOLD,success,1.0,,noop,,2024-02-09,0.001602465557663857,0.001602465557663857,0.013856591515069905,0.0,-0.012254125957406048,1.0,0.0
JPM,2024-02-09,HOLD,success,1.0,,noop,,2024-02-16,0.02297014128527386,0.02297014128527386,-0.003371912128616761,0.0,0.02634205341389062,1.0,0.0
JPM,2024-02-16,HOLD,success,1.0,,noop,,2024-02-23,0.027704891544690247,0.027704891544690247,0.016696354700357796,0.0,0.01100853684433245,1.0,0.0
JPM,2024-02-23,HOLD,success,1.0,,noop,,2024-03-01,0.007065534872218837,0.007065534872218837,0.009845366623891572,0.0,-0.0027798317516727344,1.0,0.0
JPM,2024-03-01,HOLD,success,1.0,,noop,,2024-03-08,0.015813093021467717,0.015813093021467717,-0.0022033234937332002,0.0,0.018016416515200917,1.0,0.0
JPM,2024-03-08,HOLD,success,1.0,,noop,,2024-03-15,0.011050907909567975,0.011050907909567975,-0.0005765156712816966,0.0,0.011627423580849672,1.0,0.0
JPM,2024-03-15,HOLD,success,1.0,,noop,,2024-03-22,0.03321067733603211,0.03321067733603211,0.022251621837359847,0.0,0.010959055498672265,1.0,0.0
JPM,2024-03-22,HOLD,success,1.0,,noop,,2024-03-28,0.018716346718085974,0.018716346718086196,0.0035577035830387516,2.220446049250313e-16,0.015158643135047445,1.0,0.0
JPM,2024-03-28,BUY,success,1.0,,noop,,2024-04-05,-0.01422868774783359,-0.008487299918568891,-0.008843766089677407,0.0,0.00035646617110851597,0.9980609950095629,0.0
JPM,2024-04-05,HOLD,success,0.994209466173461,,noop,,2024-04-12,-0.07424666411833203,-0.07381673629824725,-0.014576196733630531,0.0,-0.05924053956461672,0.99411643240682,0.0
JPM,2024-04-12,SELL,success,0.9937479610639955,0.0,ordered,2024-04-15,2024-04-19,0.016467038187697236,0.008293752748549377,-0.03061792429086163,-0.008070332875237618,0.03891167703941101,0.1656246601773326,108.10134467348675
JPM,2024-04-19,HOLD,success,0.0,,noop,,2024-04-26,0.04138860210815576,0.0,0.026371160838696506,-0.04113400520184318,-0.026371160838696506,0.0,0.0
JPM,2024-04-26,HOLD,success,0.0,,noop,,2024-05-03,-0.015401369142035604,0.0,0.005942863445018487,0.01531037256367107,-0.005942863445018487,0.0,0.0
JPM,2024-05-03,HOLD,success,0.0,,noop,,2024-05-10,0.04335735677111674,0.0,0.01862019408196458,-0.04309720357421809,-0.01862019408196458,0.0,0.0
JPM,2024-05-10,HOLD,success,0.0,,noop,,2024-05-17,0.030286204506561942,0.0,0.016480490121593583,-0.030111989148251528,-0.016480490121593583,0.0,0.0
JPM,2024-05-17,HOLD,success,0.0,,noop,,2024-05-24,-0.019922783014222567,0.0,-1.8849249630248366e-05,0.01981153118741985,1.8849249630248366e-05,0.0,0.0
JPM,2024-05-24,HOLD,success,0.0,,noop,,2024-05-31,0.009566031268534614,0.0,-0.0038980618803745593,-0.009511533420552443,0.0038980618803745593,0.0,0.0
JPM,2024-05-31,HOLD,success,0.0,,noop,,2024-06-07,-0.013226116247307962,0.0,0.012552843310065676,0.013151476766894432,-0.012552843310065676,0.0,0.0
JPM,2024-06-07,HOLD,success,0.0,,noop,,2024-06-14,-0.03085770540464572,0.0,0.016374043071917477,0.03068124413282869,-0.016374043071917477,0.0,0.0
JPM,2024-06-14,HOLD,success,0.0,,noop,,2024-06-21,0.013004460293143616,0.0,0.0064091486791493235,-0.012927739781015246,-0.0064091486791493235,0.0,0.0
JPM,2024-06-21,HOLD,success,0.0,,noop,,2024-06-28,0.03036164699887367,0.0,-0.0005293998050828197,-0.030184812896566715,0.0005293998050828197,0.0,0.0
JPM,2024-06-28,HOLD,success,0.0,,noop,,2024-07-05,0.012508646636989695,0.0,0.01902947265130117,-0.018091533845452368,-0.01902947265130117,0.0,0.0
