symbol,decision_session,rating,forward_return_text,alpha_vs_spy_text,holding_horizon,status,visible_from,expected_maturity_session,maturity_valid,reflection_present
AAPL,2024-05-24,Overweight,+2.1%,+2.4%,5d,resolved,2024-06-07T20:00:00+00:00,2024-06-03,True,True
AAPL,2024-05-31,Hold,+2.4%,+1.2%,5d,resolved,2024-06-07T20:00:00+00:00,2024-06-07,True,True
AAPL,2024-06-07,Hold,+7.9%,+6.3%,5d,resolved,2024-06-14T20:00:00+00:00,2024-06-14,True,True
AAPL,2024-06-14,Hold,-2.0%,-2.4%,5d,resolved,2024-06-28T20:00:00+00:00,2024-06-24,True,True
AAPL,2024-06-21,Hold,+1.5%,+1.6%,5d,resolved,2024-06-28T20:00:00+00:00,2024-06-28,True,True
AAPL,2024-06-28,Hold,,,,pending,,,False,False
AMZN,2024-01-05,Hold,+6.5%,+4.6%,5d,resolved,2024-01-12T21:00:00+00:00,2024-01-12,True,True
AMZN,2024-01-12,Hold,+0.1%,-1.3%,5d,resolved,2024-01-26T21:00:00+00:00,2024-01-22,True,True
AMZN,2024-01-19,Hold,+2.4%,+1.4%,5d,resolved,2024-01-26T21:00:00+00:00,2024-01-26,True,True
AMZN,2024-01-26,Hold,+8.0%,+6.6%,5d,resolved,2024-02-02T21:00:00+00:00,2024-02-02,True,True
AMZN,2024-02-02,Underweight,+1.5%,+0.2%,5d,resolved,2024-02-09T21:00:00+00:00,2024-02-09,True,True
AMZN,2024-02-09,Hold,-2.8%,-2.5%,5d,resolved,2024-02-16T21:00:00+00:00,2024-02-16,True,True
AMZN,2024-02-16,Overweight,+3.1%,+1.8%,5d,resolved,2024-03-01T21:00:00+00:00,2024-02-26,True,True
AMZN,2024-02-23,Hold,+1.8%,+0.9%,5d,resolved,2024-03-01T21:00:00+00:00,2024-03-01,True,True
AMZN,2024-03-01,Hold,-1.6%,-1.4%,5d,resolved,2024-03-08T21:00:00+00:00,2024-03-08,True,True
AMZN,2024-03-08,Hold,-0.5%,-0.5%,5d,resolved,2024-03-15T20:00:00+00:00,2024-03-15,True,True
AMZN,2024-03-15,Hold,+2.6%,+0.3%,5d,resolved,2024-03-22T20:00:00+00:00,2024-03-22,True,True
AMZN,2024-03-22,Hold,+1.2%,+1.0%,5d,resolved,2024-04-05T20:00:00+00:00,2024-04-01,True,True
AMZN,2024-03-28,Underweight,+2.6%,+3.5%,5d,resolved,2024-04-05T20:00:00+00:00,2024-04-05,True,True
AMZN,2024-04-05,Overweight,+0.6%,+2.0%,5d,resolved,2024-04-12T20:00:00+00:00,2024-04-12,True,True
AMZN,2024-04-12,Hold,-6.2%,-3.1%,5d,resolved,2024-04-19T20:00:00+00:00,2024-04-19,True,True
AMZN,2024-04-19,Hold,+2.9%,+0.2%,5d,resolved,2024-04-26T20:00:00+00:00,2024-04-26,True,True
AMZN,2024-04-26,Hold,+3.7%,+3.1%,5d,resolved,2024-05-03T20:00:00+00:00,2024-05-03,True,True
AMZN,2024-05-03,Hold,+0.7%,-1.2%,5d,resolved,2024-05-10T20:00:00+00:00,2024-05-10,True,True
AMZN,2024-05-10,Hold,-1.5%,-3.1%,5d,resolved,2024-05-17T20:00:00+00:00,2024-05-17,True,True
AMZN,2024-05-17,Hold,-2.1%,-2.1%,5d,resolved,2024-05-24T20:00:00+00:00,2024-05-24,True,True
AMZN,2024-05-24,Hold,-1.3%,-1.0%,5d,resolved,2024-06-07T20:00:00+00:00,2024-06-03,True,True
AMZN,2024-05-31,Hold,+4.5%,+3.2%,5d,resolved,2024-06-07T20:00:00+00:00,2024-06-07,True,True
AMZN,2024-06-07,Hold,-0.3%,-2.0%,5d,resolved,2024-06-14T20:00:00+00:00,2024-06-14,True,True
AMZN,2024-06-14,Hold,+1.0%,+0.7%,5d,resolved,2024-06-28T20:00:00+00:00,2024-06-24,True,True
AMZN,2024-06-21,Hold,+2.2%,+2.3%,5d,resolved,2024-06-28T20:00:00+00:00,2024-06-28,True,True
AMZN,2024-06-28,Hold,,,,pending,,,False,False
JPM,2024-01-05,Hold,-1.9%,-3.7%,5d,resolved,2024-01-12T21:00:00+00:00,2024-01-12,True,True
JPM,2024-01-12,Hold,+0.6%,-0.8%,5d,resolved,2024-01-26T21:00:00+00:00,2024-01-22,True,True
JPM,2024-01-19,Overweight,+1.2%,+0.1%,5d,resolved,2024-01-26T21:00:00+00:00,2024-01-26,True,True
JPM,2024-01-26,Hold,+1.4%,-0.0%,5d,resolved,2024-02-02T21:00:00+00:00,2024-02-02,True,True
JPM,2024-02-02,Hold,+0.2%,-1.2%,5d,resolved,2024-02-09T21:00:00+00:00,2024-02-09,True,True
JPM,2024-02-09,Hold,+2.3%,+2.6%,5d,resolved,2024-02-16T21:00:00+00:00,2024-02-16,True,True
JPM,2024-02-16,Hold,+2.4%,+1.1%,5d,resolved,2024-03-01T21:00:00+00:00,2024-02-26,True,True
JPM,2024-02-23,Hold,+0.7%,-0.3%,5d,resolved,2024-03-01T21:00:00+00:00,2024-03-01,True,True
JPM,2024-03-01,Hold,+1.6%,+1.8%,5d,resolved,2024-03-08T21:00:00+00:00,2024-03-08,True,True
JPM,2024-03-08,Hold,+1.1%,+1.2%,5d,resolved,2024-03-15T20:00:00+00:00,2024-03-15,True,True
JPM,2024-03-15,Hold,+3.3%,+1.1%,5d,resolved,2024-03-22T20:00:00+00:00,2024-03-22,True,True
JPM,2024-03-22,Hold,+1.2%,+1.0%,5d,resolved,2024-04-05T20:00:00+00:00,2024-04-01,True,True
JPM,2024-03-28,Overweight,-0.8%,+0.0%,5d,resolved,2024-04-05T20:00:00+00:00,2024-04-05,True,True
JPM,2024-04-05,Hold,-7.4%,-6.0%,5d,resolved,2024-04-12T20:00:00+00:00,2024-04-12,True,True
JPM,2024-04-12,Underweight,+1.6%,+4.7%,5d,resolved,2024-04-19T20:00:00+00:00,2024-04-19,True,True
JPM,2024-04-19,Hold,+4.1%,+1.5%,5d,resolved,2024-04-26T20:00:00+00:00,2024-04-26,True,True
JPM,2024-04-26,Hold,-1.5%,-2.1%,5d,resolved,2024-05-03T20:00:00+00:00,2024-05-03,True,True
JPM,2024-05-03,Hold,+4.3%,+2.5%,5d,resolved,2024-05-10T20:00:00+00:00,2024-05-10,True,True
JPM,2024-05-10,Hold,+3.0%,+1.4%,5d,resolved,2024-05-17T20:00:00+00:00,2024-05-17,True,True
JPM,2024-05-17,Hold,-2.0%,-2.0%,5d,resolved,2024-05-24T20:00:00+00:00,2024-05-24,True,True
JPM,2024-05-24,Hold,+0.6%,+0.9%,5d,resolved,2024-06-07T20:00:00+00:00,2024-06-03,True,True
JPM,2024-05-31,Hold,-1.3%,-2.6%,5d,resolved,2024-06-07T20:00:00+00:00,2024-06-07,True,True
JPM,2024-06-07,Hold,-3.1%,-4.7%,5d,resolved,2024-06-14T20:00:00+00:00,2024-06-14,True,True
JPM,2024-06-14,Hold,+2.6%,+2.3%,5d,resolved,2024-06-28T20:00:00+00:00,2024-06-24,True,True
JPM,2024-06-21,Hold,+3.0%,+3.1%,5d,resolved,2024-06-28T20:00:00+00:00,2024-06-28,True,True
JPM,2024-06-28,Hold,,,,pending,,,False,False
